wateryear,region,surfdiv,pumping,et,gwstor,model
1987,6,420.4312782,256.1857509,1170.351423,-325.5630788,cvhm
1988,6,390.3120032,310.5036158,1211.103855,-178.2818333,cvhm
1989,6,335.6301318,351.0393359,1236.034268,-304.7053676,cvhm
1990,6,209.7437428,551.285793,1250.254749,-379.7953478,cvhm
1991,6,259.6549462,547.232221,1213.007215,-171.3672675,cvhm
1992,6,256.4556579,552.0965074,1293.351985,-218.7732249,cvhm
1993,6,345.5449663,432.110776,1372.171227,432.4078905,cvhm
1994,6,373.0138225,567.5000811,1384.646399,-408.7303793,cvhm
1995,6,323.7640673,405.3572008,1347.591504,852.5219135,cvhm
1996,6,328.7884214,408.6000584,1419.990742,175.4353766,cvhm
1997,6,443.7239456,376.1714823,1367.850365,110.0926701,cvhm
1998,6,278.3832205,286.9928981,1360.136904,889.8668137,cvhm
1999,6,369.9338804,107.014301,1130.332204,-168.7570222,cvhm
2000,6,354.2659944,95.66429938,1183.970484,36.45055692,cvhm
2001,6,387.7658412,119.175017,1191.863124,-233.9476645,cvhm
2002,6,227.9351434,321.042903,1149.571045,-125.5790077,cvhm
2003,6,190.5961714,267.5357525,1217.793649,65.3522494,cvhm
1975,7,138.2370399,0,479.5755795,-53.85639763,cvhm
1976,7,187.7929197,0,483.0650462,-307.2329769,cvhm
1977,7,174.4139208,41.86181445,455.5394047,-271.2647539,cvhm
1978,7,133.1643091,6.512630325,486.8129024,94.75192003,cvhm
1979,7,129.0076279,0,468.1348541,-22.19725377,cvhm
1980,7,133.6483144,0,480.4208325,17.52380843,cvhm
1981,7,136.1664028,0,467.7961899,-91.15058575,cvhm
1982,7,97.5320702,0,528.2727183,201.4276283,cvhm
1983,7,88.27123928,0,518.0370072,244.6469816,cvhm
1984,7,107.622553,0,448.0016533,-60.49753262,cvhm
1985,7,117.9578392,0,484.2468284,-184.5189793,cvhm
1986,7,111.0440921,0,524.0815597,62.68401572,cvhm
1987,7,132.8419246,0,468.0058988,-182.573918,cvhm
1988,7,154.0834156,0.53345113,449.7291462,-113.3845625,cvhm
1989,7,128.4507396,0,494.7066698,-34.82867426,cvhm
1990,7,150.336701,0,492.0784137,-125.2591264,cvhm
1991,7,155.4027182,0,455.0564326,-92.39614437,cvhm
1992,7,157.7222803,0,500.4197029,-121.2246372,cvhm
1993,7,219.8593999,1.687498851,558.1885741,203.465782,cvhm
1994,7,226.0100869,27.4189209,504.7449621,-129.0341712,cvhm
1995,7,201.2240525,19.78476851,502.1745539,334.2590334,cvhm
1996,7,198.7533071,8.277218409,531.2277145,1.194106099,cvhm
1997,7,204.362126,5.094522536,468.648879,-35.78054421,cvhm
1998,7,158.8726531,0.293365821,503.157625,396.3838724,cvhm
1999,7,60.77727199,0,405.2896264,-208.8056856,cvhm
