region,shortage,shadow
7,220739.0398,203.0349736
7,242812.9438,205.3056266
7,264886.8478,207.3102835
8,38349.6334,120.9484587
8,76699.2668,124.8381151
8,115048.9002,129.1599556
8,153398.5336,164.697508
8,191748.1671,198.4085052
8,230097.8005,205.4598296
8,268447.4339,259.6421417
8,306797.0673,294.7486454
8,345146.7008,348.1225387
8,383496.3342,388.8753591
8,421845.9676,706.6416748
8,460195.6011,1238.025603
9,64528.622,50.76408211
9,129057.244,57.30494772
9,193585.866,103.5441788
9,258114.488,127.1132116
9,322643.111,139.5817534
9,387171.7326,148.6336178
9,451700.3546,200.5823042
9,516228.9766,231.5426204
9,580757.5986,241.5862187
9,645286.2207,261.8102959
9,709814.8427,300.0746942
9,774343.4647,313.7497151
10,78381.106,175.5788089
10,156762.212,181.7739018
10,235143.319,198.3364519
10,313524.425,235.2045257
10,391905.531,285.1222668
10,470286.638,308.1687559
10,548667.744,319.0654778
10,627048.851,329.1818779
10,705429.9569,394.0110989
10,783811.0632,431.9696231
10,862192.1695,457.636627
10,940573.2759,557.6638752
11,42172.1738,89.19945526
11,84344.3476,96.80824831
11,126516.5214,151.9685293
11,168688.6952,185.1902185
11,210860.869,200.2528196
11,253033.0428,241.180912
11,295205.2167,250.4928459
11,337377.3905,300.868391
11,379549.5643,397.525537
11,421721.7381,493.3454992
11,463893.9119,568.8030099
11,506066.0857,646.8009087
12,43739.1884,87.24199874
12,87478.3768,90.3192592
12,131217.5652,96.90275787
12,174956.7536,173.803071
12,218695.942,262.1371068
12,262435.1304,313.6832297
12,306174.3188,330.7337351
12,349913.5072,341.30231
12,393652.6957,360.7531042
12,437391.8841,455.5123275
12,481131.0725,580.7057189
12,524870.2609,724.166333
13,82649.301,110.0854536
13,165298.602,113.2960926
13,247947.902,116.8634691
13,330597.203,174.4106212
13,413246.504,229.7737351
13,495895.804,324.6078073
13,578545.105,350.4933844
13,661194.406,382.818729
13,743843.7065,449.21262
13,826493.0072,495.830133
13,909142.3079,623.4496529
13,991791.6086,733.3312459
14,53758.198,291.7405129
14,107516.396,301.0032434
14,161274.5931,311.2951662
14,167061.4447,351.9599361
14,220819.6421,365.8626181
14,226606.4937,377.227067
14,232393.3454,427.7234435
14,286151.5429,431.2324656
14,291938.3945,466.1316948
14,297725.2461,484.8229298
14,303512.0978,495.4330209
14,309298.9494,506.2539554
14,363057.1468,527.2293158
14,368843.9984,634.5026371
14,422602.1959,645.2077718
14,476360.3933,669.4835824
14,482147.245,720.1950758
14,535905.4424,725.4959442
14,589663.6399,776.3892982
14,595450.4915,907.9662597
14,649208.6889,1003.74957
14,654995.5405,1024.55941
14,660782.3921,1075.995067
14,714540.5895,1215.843129
15,95499.852,132.0444544
15,99263.72389,137.2057131
15,103027.5958,141.850505
15,198527.4478,148.0562569
15,294027.3008,207.4778154
15,389527.1528,289.0459089
15,393291.0247,295.0544043
15,488790.8777,322.3915961
15,584290.7297,335.6116714
15,679790.5817,357.6171072
15,775290.4347,389.1551075
15,870790.2867,412.4275111
15,874554.1586,468.1091126
15,970054.0116,541.6395852
15,1065553.863,568.57576
15,1069317.735,577.3017152
15,1164817.587,625.0159003
15,1168581.459,668.5645105
15,1172345.331,808.2895446
15,1176109.203,906.2632532
15,1179873.075,985.7120738
15,1183636.947,1045.025936
15,1187400.819,1109.083458
15,1191164.691,1196.570265
16,19486.6264,42.97884122
16,38973.2528,44.08410438
16,58459.8793,45.31217455
16,77946.5058,46.68472357
16,97433.1322,48.22884122
16,116919.7587,103.929376
16,136406.3852,176.9161486
16,155893.0117,336.7617367
16,175379.6381,582.7834156
16,194866.2646,866.7457954
16,214352.8911,1031.180589
16,233839.5176,1157.711915
17,40921.6285,90.21765647
17,81843.257,99.49778508
17,122764.8854,119.2298982
